stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,winter_floor_eff,autumn_rate,spring_rate,autumn_rate_abs,spring_rate_abs,eff_trough_day,livable
s47746,鳥取,35.486667,134.238333,69,sunshine_normal,4.577,0.9628,0.0428,15.627,5.947,2.421,5.548,2.9,51.0,1.84,84.0,0.1533,0.5992,0.0733,0.3802,10,214,4.482,0.2776,0.3055,4.222,4.647,5,1
s47747,豊岡,35.535,134.821667,63,sunshine_normal,4.079,0.992,0.0398,14.52,5.533,2.233,5.06,2.8,46.0,2.053,78.0,0.14,0.6231,0.08,0.457,3,215,4.131,0.2255,0.2947,3.15,4.117,3,1
s47750,舞鶴,35.45,135.316667,61,sunshine_normal,4.253,0.9217,0.0393,14.36,5.507,2.461,5.079,2.9,52.0,1.78,80.0,0.14,0.6551,0.08,0.4021,13,215,4.562,0.2601,0.3097,3.524,4.196,10,1
s47754,萩,34.41,131.405,81,sunshine_normal,4.759,0.9239,0.0464,16.92,6.973,2.637,5.551,3.533,62.0,1.94,90.0,0.1733,0.7105,0.0867,0.3901,15,214,5.018,0.3141,0.3343,4.783,5.09,13,1
s47755,浜田,34.896667,132.07,68,sunshine_normal,4.828,1.024,0.0459,16.747,5.8,2.306,5.891,3.173,57.0,1.98,87.0,0.1533,0.5798,0.08,0.3618,14,213,4.348,0.3167,0.353,5.127,5.713,10,1
s47756,津山,35.063333,134.008333,66,sunshine_normal,4.901,0.5757,0.0312,11.373,5.28,3.752,4.905,0.973,51.0,2.547,15.0,0.0467,0.3195,0.1067,0.8359,357,140,7.028,0.3132,0.3244,3.793,3.928,357,1
s47759,京都,35.013333,135.731667,61,sunshine_normal,4.916,0.4405,0.0304,11.08,5.88,4.089,4.764,2.433,12.0,2.38,14.0,0.12,0.9359,0.1067,0.9154,178,120,7.63,0.2971,0.3595,2.978,3.603,16,1
s47761,彦根,35.275,136.243333,60,sunshine_normal,5.103,0.718,0.0378,13.787,5.733,3.361,5.635,2.933,64.0,1.507,87.0,0.14,0.7285,0.0667,0.3742,4,216,6.258,0.2766,0.3564,3.823,4.927,364,1
s47762,下関,33.948333,130.925,81,sunshine_normal,5.139,0.7387,0.0451,16.453,7.653,3.321,5.6,3.653,62.0,1.733,94.0,0.1867,0.8303,0.0733,0.3939,15,214,6.392,0.3472,0.3288,4.934,4.672,13,1
s47765,広島,34.398333,132.461667,67,sunshine_normal,5.573,0.4627,0.0354,12.92,6.653,4.578,5.636,3.067,12.0,2.687,93.0,0.14,0.9787,0.12,0.8574,179,213,8.69,0.3254,0.3211,3.893,3.842,350,1
